topic,group,effect,q,eta2_kw
Startling and Sudden Realizations,trash,0.7473185635911814,0.2861372115888589,0.04754987070758281
Gatherings and Shared Meals,trash,0.6744987414197734,0.277568672994215,0.05099165767284383
Shivering and Electric Touches,trash,0.6697558561036956,0.2455535503298944,0.06681583957844538
Departures and Goodbyes,trash,0.5888680525775977,0.277568672994215,0.055946606855558245
Legs and Thighs and Desire,trash,0.5784799791587066,0.2082192485990255,0.07461788247875373
Partings and Letting Go,trash,0.5345529934154053,0.277568672994215,0.05165077309714804
Actions with Objects.,trash,0.5175863860920382,0.2594312260418805,0.06105381738143954
Emphasis on Hips and Body Language,trash,0.4919542246061298,0.2082192485990255,0.07803999944688134
Fancy Underwear,trash,0.38596515600102654,0.2594312260418805,0.05987185474641642
Shrugging off Feelings and Indifference,trash,0.18612934786273613,0.2082192485990255,0.07292125799342462
Reading and Rereading,trash,0.09853595906237071,0.0821718446874664,0.15097979309389076
Physical Intimacy Focusing on Touch,trash,0.008257479323365787,0.2594312260418805,0.05988187299461343
Hockey and Sports,trash,-0.016178683617524545,0.2082192485990255,0.07601147297285321
Anger or Frustration,trash,-0.016752208064376772,0.2594312260418805,0.060669861060443836
Tattoos and Brutal Appearance,trash,-0.12450644671550296,0.2455535503298944,0.0659843853583546
Rings and Engagements,trash,-0.1602245345840296,0.2815972145339834,0.04990373064742904
Grumpiness and Gloomy Mood,trash,-0.20456346345886134,0.277568672994215,0.05422501991861354
Connecting Through Dance,trash,-0.20691016026663794,0.1961135313527622,0.0890942730752506
Guilt and Regret,trash,-0.2352048529322911,0.1876362098257769,0.09345338030342774
Sleep and Rest,trash,-0.26784414521043004,0.2082192485990255,0.08293234372822902
