Embeddings_Model,pareto_rank,Iteration,Coherence,Topic_Diversity,bertopic__min_topic_size,bertopic__top_n_words,hdbscan__min_cluster_size,hdbscan__min_samples,umap__min_dist,umap__n_components,umap__n_neighbors,vectorizer__min_df,Coherence_norm,Topic_Diversity_norm,Combined_Score,Pareto_Efficient_All,Pareto_Efficient_PerModel
paraphrase-MiniLM-L6-v2,1,19,0.4252370503,0.94,64,27,143,32,0.08570171053,9,44,0.005931605066,1.1885160088522089,2.112674145581262,1.6505950772167353,True,True
paraphrase-mpnet-base-v2,2,0,0.4632450566,0.82,127,31,494,28,0.05834116735,10,11,0.007313217716,1.9279437500790586,0.8885603327901711,1.408252041434615,True,True
paraphrase-mpnet-base-v2,3,14,0.4691869645,0.8,63,22,500,72,0.07781750274,9,11,0.009371940902,2.0435407509424004,0.6845413639916569,1.3640410574670288,True,True
paraphrase-MiniLM-L6-v2,4,28,0.3540401212,0.95,88,11,145,91,0.0972229017,10,45,0.008544665849,-0.19658648905758344,2.2146836299805197,1.0090485704614682,True,True
all-MiniLM-L12-v2,5,66,0.5775505199,0.45,102,30,281,72,0.005022461555,2,7,0.001503935747,4.151702341115903,-2.8857905899823586,0.6329558755667721,True,True
paraphrase-distilroberta-base-v1,6,6,0.303961604,0.97,110,11,276,58,0.02909755241,3,36,0.007148732241,-1.1708402966609024,2.418702598779035,0.6239311510590663,True,True
paraphrase-mpnet-base-v2,7,1,0.294120408,0.975,57,37,132,57,0.0530146328,4,39,0.004806256676,-1.36229609867835,2.4697073409786636,0.5537056211501568,True,True
all-MiniLM-L12-v2,8,75,0.54310462,0.4666666667,142,10,473,14,0.004633509042,5,15,0.001947372767,3.4815736909429766,-2.715774782310231,0.38289945431637284,True,True
whaleloops-phrase-bert,9,5,0.2688243153,0.98,37,16,208,92,0.07205955527,3,26,0.00223172155,-1.8544195881186785,2.5207120831782923,0.3331462475298069,True,True
all-MiniLM-L12-v2,10,67,0.4894193027,0.5272727273,99,24,258,37,0.004851585309,7,42,0.001173562621,2.43715129754357,-2.0975354829826154,0.16980790728047723,True,True
